"subject_id","trial_number","categorical_condition","random_intercept","random_slope_trial","categorical_coded","fixed_categorical","interaction_term","random_error","log_rt","SaccadicRT","treshold","stand_TrialN"
"1",1,"Complex",-0.0897138159971916,-0.026807471408135,0.5,-0.005,-0.017,0.128900282730023,5.9503789953247,383.898807346611,221.645218339813,-1.64544826719043
"1",2,"Simple",-0.0897138159971916,-0.026807471408135,-0.5,0.005,0.034,0.0549338685005298,5.87060510968707,354.463404625945,220.165133070056,-1.47224318643355
"1",3,"Complex",-0.0897138159971916,-0.026807471408135,0.5,-0.005,-0.051,-0.0312970922822035,5.6225666774962,276.598411840808,224.699099179605,-1.29903810567666
"1",4,"Simple",-0.0897138159971916,-0.026807471408135,-0.5,0.005,0.068,-0.0542964574543005,5.66175984091597,287.654423402568,221.464866008508,-1.12583302491977
"1",5,"Simple",-0.0897138159971916,-0.026807471408135,-0.5,0.005,0.085,0.0316567433204752,5.69790557028261,298.242099254741,218.97845087888,-0.952627944162882
"1",6,"Complex",-0.0897138159971916,-0.026807471408135,0.5,-0.005,-0.102,-0.116723707664194,5.2857176478898,NA,199.575468024435,-0.779422863405995
"1",7,"Complex",-0.0897138159971916,-0.026807471408135,0.5,-0.005,-0.119,-0.0654955875687136,5.25313829657715,NA,208.887151554798,-0.606217782649107
"1",8,"Simple",-0.0897138159971916,-0.026807471408135,-0.5,0.005,0.136,-0.267574142370233,5.2492522703675,NA,207.497152057274,-0.433012701892219
"1",9,"Simple",-0.0897138159971916,-0.026807471408135,-0.5,0.005,0.153,-0.16788475616386,5.29913418516573,NA,220.666490246319,-0.259807621135332
"1",10,"Complex",-0.0897138159971916,-0.026807471408135,0.5,-0.005,-0.17,0.0082914181528006,5.07550288807426,NA,194.994374308801,-0.0866025403784439
"1",11,"Complex",-0.0897138159971916,-0.026807471408135,0.5,-0.005,-0.187,-0.149180933636393,4.83422306487693,NA,207.904278130663,0.0866025403784439
"1",12,"Simple",-0.0897138159971916,-0.026807471408135,-0.5,0.005,0.204,0.141828570633015,5.4594250977382,234.962305168116,201.857784501605,0.259807621135332
"1",13,"Simple",-0.0897138159971916,-0.026807471408135,-0.5,0.005,0.221,0.147462237501665,5.41525129319872,224.809031561701,205.576773529209,0.433012701892219
"1",14,"Complex",-0.0897138159971916,-0.026807471408135,0.5,-0.005,-0.238,0.000415929968267762,4.73239751425719,NA,199.778499677987,0.606217782649107
"1",15,"Complex",-0.0897138159971916,-0.026807471408135,0.5,-0.005,-0.255,0.123568944598878,4.77174305747966,NA,211.084419026791,0.779422863405995
"1",16,"Simple",-0.0897138159971916,-0.026807471408135,-0.5,0.005,0.272,-0.043400140861436,5.07496650061121,NA,202.146877134768,0.952627944162882
"1",17,"Simple",-0.0897138159971916,-0.026807471408135,-0.5,0.005,0.289,-0.00623401688608359,5.06232515317843,NA,209.927307649572,1.12583302491977
"1",18,"Complex",-0.0897138159971916,-0.026807471408135,0.5,-0.005,-0.306,0.0263836789188444,4.42313537757522,NA,213.458741495973,1.29903810567666
"1",19,"Simple",-0.0897138159971916,-0.026807471408135,-0.5,0.005,0.323,0.141211141287173,5.11015536853542,NA,222.843840777231,1.47224318643355
"1",20,"Complex",-0.0897138159971916,-0.026807471408135,0.5,-0.005,-0.34,-0.0960458238655963,4.13309093197451,NA,213.468496539201,1.64544826719043
"2",1,"Complex",-0.0628493858886877,0.0251602894651195,0.5,-0.005,-0.017,0.0553779228521349,5.95568882642857,385.942666646343,218.44279672346,-1.64544826719043
"2",2,"Complex",-0.0628493858886877,0.0251602894651195,0.5,-0.005,-0.034,0.13369103835663,6.00216223139818,404.302043641179,213.744756131852,-1.47224318643355
"2",3,"Simple",-0.0628493858886877,0.0251602894651195,-0.5,0.005,0.051,0.16242443605342,6.11105591856009,450.814487319411,203.44033171756,-1.29903810567666
"2",4,"Complex",-0.0628493858886877,0.0251602894651195,0.5,-0.005,-0.068,-0.173475116611306,5.63131665536048,279.029261251753,197.025507851715,-1.12583302491977
"2",5,"Simple",-0.0628493858886877,0.0251602894651195,-0.5,0.005,0.085,0.0593328847926508,6.01228494622956,408.415462291807,217.856722723852,-0.952627944162882
"2",6,"Complex",-0.0628493858886877,0.0251602894651195,0.5,-0.005,-0.102,0.109905714729362,5.85101806563139,347.58806787548,212.146334094875,-0.779422863405995
"2",7,"Complex",-0.0628493858886877,0.0251602894651195,0.5,-0.005,-0.119,0.0588106057619493,5.7680832461291,319.923929150572,186.635167658366,-0.606217782649107
"2",8,"Simple",-0.0628493858886877,0.0251602894651195,-0.5,0.005,0.136,0.00794101698279508,5.96737394681506,390.478904797356,207.526310730417,-0.433012701892219
"2",9,"Simple",-0.0628493858886877,0.0251602894651195,-0.5,0.005,0.153,-0.0427481639250723,5.91884505537232,371.981847251812,213.228954104062,-0.259807621135332
