Id,Event,TrialN,SaccadicRT,LookingTime,SES,Stand_TrialN
1,Simple,2,336.474485787519,1702.30709307096,low,-1.47224318643355
1,Simple,4,337.757873191402,NA,low,-1.12583302491977
1,Simple,5,409.778146296093,1705.50565230978,low,-0.952627944162882
1,Simple,8,352.491673639427,NA,low,-0.433012701892219
1,Simple,9,368.798958855473,1695.14478459997,low,-0.259807621135332
1,Simple,12,375.466990511072,NA,low,0.259807621135332
1,Simple,13,395.374352214217,NA,low,0.433012701892219
1,Simple,16,426.14640598921,NA,low,0.952627944162882
1,Simple,17,439.106714138495,NA,low,1.12583302491977
1,Simple,19,461.148844385829,1644.54794786356,low,1.47224318643355
1,Complex,1,277.789282744053,1816.05277621042,low,-1.64544826719043
1,Complex,3,264.837566474385,NA,low,-1.29903810567666
1,Complex,6,226.063273686777,1799.36304025641,low,-0.779422863405995
1,Complex,7,244.626050350304,1787.86739785787,low,-0.606217782649107
1,Complex,10,243.89622590465,1838.42875361275,low,-0.0866025403784439
1,Complex,11,219.211534113842,NA,low,0.0866025403784439
1,Complex,14,276.352827426473,1892.48436714516,low,0.606217782649107
1,Complex,15,228.216065830383,NA,low,0.779422863405995
1,Complex,18,227.112655148196,NA,low,1.29903810567666
1,Complex,20,221.826679603616,1980,low,1.64544826719043
2,Simple,3,495.052922462963,1146.56881433112,medium,-1.29903810567666
2,Simple,5,385.935090496057,NA,medium,-0.952627944162882
2,Simple,8,443.271779954492,1077.44671713267,medium,-0.433012701892219
2,Simple,9,373.076052078395,NA,medium,-0.259807621135332
2,Simple,10,410.159804506047,NA,medium,-0.0866025403784439
2,Simple,12,411.453749480788,NA,medium,0.259807621135332
2,Simple,13,401.128125937325,NA,medium,0.433012701892219
2,Simple,15,355.4236975336,928.136608917866,medium,0.779422863405995
2,Simple,19,333.978083874847,NA,medium,1.47224318643355
2,Simple,20,438.498157149011,745.559678653974,medium,1.64544826719043
2,Complex,1,435.167437596009,1227.72047787326,medium,-1.64544826719043
2,Complex,2,348.63384653871,NA,medium,-1.47224318643355
2,Complex,4,328.234748945645,NA,medium,-1.12583302491977
2,Complex,6,260.498032236845,1304.69375833,medium,-0.779422863405995
2,Complex,7,275.326534990466,1231.93610558636,medium,-0.606217782649107
2,Complex,11,225.085995864861,NA,medium,0.0866025403784439
2,Complex,14,NA,1067.26085111864,medium,0.606217782649107
2,Complex,16,NA,NA,medium,0.952627944162882
2,Complex,17,220.15918481643,NA,medium,1.12583302491977
2,Complex,18,NA,1039.65324224739,medium,1.29903810567666
3,Simple,2,499.643930350325,NA,high,-1.47224318643355
3,Simple,5,499.095704504769,922.287319210904,high,-0.952627944162882
3,Simple,6,523.324819812912,895.997098059554,high,-0.779422863405995
3,Simple,8,550.126840796691,NA,high,-0.433012701892219
3,Simple,9,494.602014066259,NA,high,-0.259807621135332
3,Simple,11,476.9099457196,NA,high,0.0866025403784439
3,Simple,15,483.875205459898,761.281874872834,high,0.779422863405995
3,Simple,16,430.556713288169,913.586057654851,high,0.952627944162882
3,Simple,17,421.846817144661,NA,high,1.12583302491977
3,Simple,19,465.491540214412,NA,high,1.47224318643355
3,Complex,1,401.935157608558,1094.88539587374,high,-1.64544826719043
3,Complex,3,370.006296260162,NA,high,-1.29903810567666
3,Complex,4,344.351598939228,1122.41219621385,high,-1.12583302491977
3,Complex,7,369.142938567695,1054.71831913406,high,-0.606217782649107
3,Complex,10,409.205549199033,NA,high,-0.0866025403784439
3,Complex,12,300.121436610919,NA,high,0.259807621135332
3,Complex,13,253.872686048918,1060.91781965238,high,0.433012701892219
3,Complex,14,259.46774552045,NA,high,0.606217782649107
3,Complex,18,242.170587512697,NA,high,1.29903810567666
3,Complex,20,234.953835756893,1057.22207963029,high,1.64544826719043
4,Simple,1,400.740533924081,1158.14488581147,low,-1.64544826719043
4,Simple,2,325.655619923257,NA,low,-1.47224318643355
4,Simple,3,341.642420543111,1022.23641854988,low,-1.29903810567666
4,Simple,5,380.660361308344,NA,low,-0.952627944162882
4,Simple,8,370.597557650627,NA,low,-0.433012701892219
4,Simple,9,394.88457960611,960.738357986111,low,-0.259807621135332
4,Simple,13,331.949963003129,917.939025527693,low,0.433012701892219
4,Simple,14,352.261867173144,1015.34043968643,low,0.606217782649107
4,Simple,15,425.986172223595,NA,low,0.779422863405995
4,Simple,18,400.419674810196,875.801662988103,low,1.29903810567666
4,Complex,4,289.550624044525,1181.3763768419701,low,-1.12583302491977
4,Complex,6,286.394583171264,1213.86659579501,low,-0.779422863405995
4,Complex,7,258.420541337871,NA,low,-0.606217782649107
4,Complex,10,271.411430581307,NA,low,-0.0866025403784439
4,Complex,11,293.082596994437,NA,low,0.0866025403784439
4,Complex,12,223.822771671821,NA,low,0.259807621135332
4,Complex,16,252.366265108013,1056.68108734472,low,0.952627944162882
4,Complex,17,209.578015948766,NA,low,1.12583302491977
4,Complex,19,NA,1035.31787000679,low,1.47224318643355
4,Complex,20,224.843887371686,NA,low,1.64544826719043
5,Simple,1,567.799771040611,NA,medium,-1.64544826719043
5,Simple,5,571.807453891079,NA,medium,-0.952627944162882
5,Simple,6,522.356710228876,1381.92558268277,medium,-0.779422863405995
5,Simple,7,453.555146519411,NA,medium,-0.606217782649107
5,Simple,11,409.197029900577,NA,medium,0.0866025403784439
5,Simple,13,417.987853867983,NA,medium,0.433012701892219
5,Simple,14,375.052498091629,1592.3871167307,medium,0.606217782649107
5,Simple,16,344.5772515355,NA,medium,0.952627944162882
5,Simple,18,331.166010375137,1692.3043323935,medium,1.29903810567666
5,Simple,19,281.589225819564,1644.00725469071,medium,1.47224318643355
5,Complex,2,435.510174869346,NA,medium,-1.47224318643355
5,Complex,3,505.91098837793,NA,medium,-1.29903810567666
5,Complex,4,440.971802104584,1509.52050421782,medium,-1.12583302491977
5,Complex,8,347.942546944709,1494.23189139539,medium,-0.433012701892219
5,Complex,9,264.397816369782,NA,medium,-0.259807621135332
5,Complex,10,294.748252684398,NA,medium,-0.0866025403784439
5,Complex,12,253.660870415561,NA,medium,0.259807621135332
5,Complex,15,NA,NA,medium,0.779422863405995
5,Complex,17,NA,1866.61207969152,medium,1.12583302491977
5,Complex,20,NA,NA,medium,1.64544826719043
6,Simple,2,409.622669718069,1216.27519429151,high,-1.47224318643355
6,Simple,3,400.164789917091,1284.46254102099,high,-1.29903810567666
6,Simple,5,416.68098532753,NA,high,-0.952627944162882
6,Simple,9,368.203574558215,NA,high,-0.259807621135332
6,Simple,10,390.642835637228,1157.54422598145,high,-0.0866025403784439
6,Simple,11,318.501805106766,NA,high,0.0866025403784439
6,Simple,14,336.844035804146,NA,high,0.606217782649107
6,Simple,15,337.309706878711,NA,high,0.779422863405995
6,Simple,16,293.625702247226,984.268673823679,high,0.952627944162882
6,Simple,18,290.129853541559,NA,high,1.29903810567666
6,Simple,20,279.304306268208,935.694863749119,high,1.64544826719043
6,Complex,1,405.742543365788,1498.75594252165,high,-1.64544826719043
6,Complex,4,280.974619632239,NA,high,-1.12583302491977
6,Complex,6,312.726544429044,1279.97154835179,high,-0.779422863405995
6,Complex,7,276.444379749047,NA,high,-0.606217782649107
6,Complex,8,302.898986802609,NA,high,-0.433012701892219
6,Complex,12,216.732714269627,NA,high,0.259807621135332
